Year,State,abbr,Death_Rate,Deaths
2021,Alabama,AL,26.4,1315
2021,Alaska,AK,25.2,182
2021,Arizona,AZ,18.3,1365
2021,Arkansas,AR,23.3,698
2021,California,CA,9,3576
2021,Colorado,CO,17.8,1064
2021,Connecticut,CT,6.7,248
2021,Delaware,DE,16.6,158
2021,Florida,FL,14.1,3142
2021,Georgia,GA,20.3,2200
2021,Hawaii,HI,4.8,71
2021,Idaho,ID,16.3,309
2021,Illinois,IL,16.1,1995
2021,Indiana,IN,18.4,1251
2021,Iowa,IA,11.2,364
2021,Kansas,KS,17.3,503
2021,Kentucky,KY,21.1,947
2021,Louisiana,LA,29.1,1314
2021,Maine,ME,12.6,178
2021,Maryland,MD,15.2,915
2021,Massachusetts,MA,3.4,247
2021,Michigan,MI,15.4,1544
2021,Minnesota,MN,10,573
2021,Mississippi,MS,33.9,962
2021,Missouri,MO,23.2,1414
2021,Montana,MT,25.1,280
2021,Nebraska,NE,10.3,200
2021,Nevada,NV,19.8,633
2021,New Hampshire,NH,8.3,123
2021,New Jersey,NJ,5.2,475
2021,New Mexico,NM,27.8,578
2021,New York,NY,5.4,1078
2021,Noth Carolina,NC,17.3,1839
2021,North Dakota,ND,16.8,128
2021,Ohio,OH,16.5,1911
2021,Oklahoma,OK,21.2,836
2021,Oregon,OG,14.9,670
2021,Pennsylvania,PA,14.8,1905
2021,Rhode Island,RI,5.6,64
2021,South Carolina,SC,22.4,1136
2021,South Dakota,SD,14.3,128
2021,Tennessee,TN,22.8,1569
2021,Texas,TX,15.6,4613
2021,Utah,UT,13.9,450
2021,Vermont,VT,11.9,83
2021,Virginia,VA,14.3,1248
2021,Washington,WA,11.2,896
2021,West virginia,WV,17.3,319
2021,Wisconsin,WI,13.5,793
2021,Wyoming,WY,26.1,155
