State,abbr,Male_Ratio,Female_Ratio,Total_Ratio
Alabama,AL,0.492,0.508,1
Alaska,AK,0.481,0.519,1
Arizona,AZ,0.512,0.488,1
Arkansas,AR,0.495,0.505,1
California,CA,0.49,0.51,1
Colorado,CO,0.497,0.503,1
Connecticut,CT,0.502,0.498,1
Delaware,DE,0.489,0.511,1
Florida,FL,0.481,0.519,1
Georgia,GA,0.475,0.525,1
Hawaii,HI,0.488,0.512,1
Idaho,ID,0.483,0.517,1
Illinois,IL,0.491,0.509,1
Indiana,IN,0.499,0.501,1
Iowa,IA,0.492,0.508,1
Kansas,KS,0.493,0.507,1
Kentucky,KY,0.499,0.501,1
Louisiana,LA,0.498,0.502,1
Maine,ME,0.491,0.509,1
Maryland,MD,0.482,0.518,1
Massachusetts,MA,0.491,0.509,1
Michigan,MI,0.482,0.518,1
Minnesota,MN,0.489,0.511,1
Mississippi,MS,0.493,0.507,1
Missouri,MO,0.499,0.501,1
Montana,MT,0.481,0.519,1
Nebraska,NE,0.489,0.511,1
Nevada,NV,0.507,0.493,1
New Hampshire,NH,0.498,0.502,1
New Jersey,NJ,0.501,0.499,1
New Mexico,NM,0.5,0.5,1
New York,NY,0.49,0.51,1
Noth Carolina,NC,0.49,0.51,1
North Dakota,ND,0.487,0.513,1
Ohio,OH,0.483,0.517,1
Oklahoma,OK,0.513,0.487,1
Oregon,OG,0.49,0.51,1
Pennsylvania,PA,0.495,0.505,1
Rhode Island,RI,0.497,0.503,1
South Carolina,SC,0.492,0.508,1
South Dakota,SD,0.489,0.511,1
Tennessee,TN,0.482,0.518,1
Texas,TX,0.507,0.493,1
Utah,UT,0.487,0.513,1
Vermont,VT,0.495,0.505,1
Virginia,VA,0.505,0.495,1
Washington,WA,0.496,0.504,1
West virginia,WV,0.488,0.512,1
Wisconsin,WI,0.499,0.501,1
Wyoming,WY,0.494,0.506,1
